Hypernym,Weight by occurence
Synset('activity.n.01'),100
Synset('person.n.01'),65
Synset('message.n.02'),64
Synset('content.n.05'),58
Synset('collection.n.01'),57
Synset('instrumentality.n.03'),49
Synset('computer_network.n.01'),48
Synset('being.n.01'),47
Synset('small_indefinite_quantity.n.01'),42
Synset('idea.n.01'),41
Synset('change.v.01'),40
Synset('machine.n.01'),38
Synset('case.n.01'),36
Synset('time_period.n.01'),34
Synset('be.v.01'),33
Synset('body_part.n.01'),32
Synset('time.n.05'),31
Synset('device.n.01'),29
Synset('act.n.02'),28
Synset('day.n.04'),27
Synset('excavation.n.03'),26
Synset('equip.v.01'),25
Synset('code.n.03'),24
Synset('achiever.n.01'),23
Synset('act.v.01'),22
